Plate type, harmonic mean, mean, standard deviation
Arabic Plate, 0.7216676922571722, 0.8279263056811557, 0.29684648909610306
English Plate, 0.37060334133073963, 0.46278791989781387, 0.23303982784256624
Total, 0.591939256173117, 0.7434493740550097, 0.3224476100631355
